점포명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정연도,운영여부,데이터기준일자
세븐일레븐 역삼디오빌점,서울특별시,강남구,11680,서울특별시 강남구 언주로 427,,37.50147603,127.0426899,,서울수서경찰서,,N,2026-01-29
세븐일레븐 역삼만남점,서울특별시,강남구,11680,서울특별시 강남구 테헤란로6길 47,,37.4955369,127.0318129,,서울강남경찰서,,Y,2026-01-29
세븐일레븐 역삼진선점,서울특별시,강남구,11680,서울특별시 강남구 선릉로85길 8,,37.5028306,127.048825,,서울강남경찰서,,Y,2026-01-29
세븐일레븐 역삼타운점,서울특별시,강남구,11680,서울특별시 강남구 강남대로84길 28,,37.4969468,127.0309047,,서울강남경찰서,,Y,2026-01-29
GS25 논현진실점,서울특별시,강남구,11680,"서울특별시 강남구 언주로121길 8, 1층",,37.51173381,127.0349617,,서울강남경찰서,,Y,2026-01-29
GS25 논현동부점,서울특별시,강남구,11680,서울특별시 강남구 학동로30길 49,,37.51107025,127.0333161,,서울강남경찰서,,Y,2026-01-29
CU 논현세원점,서울특별시,강남구,11680,서울특별시 강남구 언주로125길 7,,37.51290305,127.0346285,,서울강남경찰서,,Y,2026-01-29
세븐일레븐 강남YMCA점,서울특별시,강남구,11680,서울특별시 강남구 봉은사로37길 28,,37.51005125,127.0359579,,서울강남경찰서,,Y,2026-01-29
세븐일레븐 강남도곡점,서울특별시,강남구,11680,서울특별시 강남구 남부순환로361길 6,,37.4855940074,127.0375706543,,서울수서경찰서,,Y,2026-01-29
세븐일레븐 도곡2호점,서울특별시,강남구,11680,서울특별시 강남구 남부순환로365길 38,,37.4877624033,127.0399513229,,서울수서경찰서,,Y,2026-01-29
GS25 도곡센터점,서울특별시,강남구,11680,서울특별시 남부순환로359길 6,,37.48904039,127.0402649,,서울수서경찰서,,Y,2026-01-29
CU 양재점,서울특별시,강남구,11680,서울특별시 강남대로 238 스카이쏠라빌딩,,37.4997965,127.028823,,서울수서경찰서,,Y,2026-01-29
